Name_email,Local Body,Local Body Type,LSG Code,Block,Assembly,District,District Panchayat,wikidata link,Name_std_ml,wikidata-kml,Local Body Full_ml,വെബ്സൈറ്റ്‌,Assembly(s)
changaroth,changaroth,GP,G110603,perambra,Perambra,Kozhikode,Kozhikode,Q13111872,ചങ്ങരോത്ത്,Q13111872,ചങ്ങരോത്ത് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/changarothpanchayat,പേരാംബ്ര
chapparapadava,chapparapadava,GP,G130305,thalipparamba,Taliparamba,Kannur,Kannur,Q16137170,ചപ്പാരപ്പടവ്,Q16137170,ചപ്പാരപ്പടവ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chapparapadavapanchayat,തളിപ്പറമ്പ്
chathamangalam,chathamangalam,GP,G111106,kunnamangalam,Kunnamangalam,Kozhikode,Kozhikode,Q13111911,ചാത്തമംഗലം,Q13111911,ചാത്തമംഗലം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chathamangalampanchayat,കുന്ദമംഗലം
chathannoor,chathannoor,GP,G021003,ithikkara,Chathannoor,Kollam,Kollam,Q13111909,ചാത്തന്നൂര്‍,Q13111909,ചാത്തന്നൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chathannoorpanchayat,ചാത്തന്നൂർ
chavakkad,chavakkad,Municipality,M080200,NA,Guruvayur,Thrissur,NA,Q13111926,ചാവക്കാട്,Q13111926,ചാവക്കാട് മുനിസിപ്പാലിറ്റി,chavakkadmunicipality.lsgkerala.gov.in,ഗുരുവായൂര്‍
chavara,chavara,GP,G020802,chavara,Chavara,Kollam,Kollam,Q13111887,ചവറ,Q13111887,ചവറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chavarapanchayat,ചവറ
chazhur,chazhur,GP,G080903,anthikad,Nattika,Thrissur,Thrissur,Q16137498,ചാഴൂര്‍,Q16137498,ചാഴൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chazhurpanchayat,നാട്ടിക
cheacode,cheacode,GP,G100505,areacode,Kondotty,Malappuram,Malappuram,Q13111973,ചീക്കോട്,Q13111973,ചീക്കോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/cheacodepanchayat,കൊണ്ടോട്ടി
chekkiad,chekkiad,GP,G110201,tuneri,Nadapuram,Kozhikode,Kozhikode,Q16133839,ചെക്യാട്,Q16133839,ചെക്യാട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chekkiadpanchayat,നാദാപുരം
chelakkara,chelakkara,GP,G080401,pazhayannur,Chelakkara,Thrissur,Thrissur,Q23307848,ചേലക്കര,Q23307848,ചേലക്കര ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chelakkarapanchayat,ചേലക്കര
